"Anho","1. Ingresos ","1.1. Ingresos tributarios netos","1.2. Cobre bruto","1.3. Imposiciones previsionales","1.4. Donaciones","1.5. Rentas de la propiedad","1.6. Ingresos de operación","1.7. Otros ingresos","2. Gastos","2.1. Personal","2.2. Bienes y servicios de consumo y producción","2.3. Intereses","2.4. Subsidios y donaciones","2.5. Prestaciones previsionales","2.6. Otros","3. Resultado operativo bruto","4. Adquisicion neta de activos no financieros","4.1. Venta de activos físicos","4.2. Inversión","4.3. Transferencias de capital","5. Total ingresos","6. Total gastos","7. Préstamo o endeudamiento neto"
2010-01-01,25608040.4,19058117.7,3042009.9,1493987,91769,481797.8,590192,850167,21073660.95,6354382.4,2732477.4,537522.94634,6370081.2,5028264,50933,4534379.454,4936194,43692,3111004,1868882,25651732.4,26053546.94634,-401814.546340004
2011-01-01,29538699.829,22800751,2765410.876,1623817,156051,558816.353,611144.6,1022709,22120439.43,6745129,2993375.159,676690.4,6435690.874,5207538,62016,7418260.396,5684889.398,32464,3497843.398,2219510,29571163.829,27837792.831,1733370.998
2012-01-01,30892910.067,24616194,1963869.7,1802468,126784,622783.7,702913,1057897.667,24269624.31,7406498,3284390.188,765404,7283911,5448996.122,80425,6623285.757,5738458.6,42121,3499534.3,2281045.3,30935031.067,30050203.91,884827.156999994
2013-01-01,31140707.949,24963063,1412718,1968973,90770,689890,726252,1289041.949,26286349.1,8153268,3567893.157,801506,8075227.943,5632596,55858,4854358.849,5501837,56969,3453424,2105382,31197676.949,31845155.1,-647478.151000001
2014-01-01,33076346.21958,26687274.778,1353643.33728,2110087.541,65477.6089999999,696627.15692,795150.87347,1368084.92391,29068419.21,9073962.64706,4025599.453,910143.828209,8917613.15651,6078733.96444,62366.16068,4007927.009,6222329.837,52754.656,3861825.963,2413258.53,33129100.87558,35343503.702719,-2214402.827139
2015-01-01,36386078.1611423,30135146.1991954,703710.039440864,2252489.367,108579.661,708754.410335838,880009.26574,1597389.21843022,32555915.07,10106405.96545,4520209.904,1053820.186,10251468.69945,6535997.34562,88013,3830163.095,7143457.452,48518.633,4384974.942,2807001.14225,36434596.7941423,39747891.15124,-3313294.35709768
2016-01-01,38319784,31675567,599722.606391023,2441418.978,120768,788129,947564,1746614,35695213.46,11183889,4897088.371,1266407,11430170,6818555,99105,2624570.986,7114985.001,50438.51824,4325209.16,2840214,38370223,42860637,-4490414
2017-01-01,41000514.626257,33620343.7513778,898899.69999855,2627558.358,107061.262342997,814416.4682553,998130.00576,1934105.08052397,38690731.303675,12218298.165947,5201021.4790569,1460018.274032,12424998.875672,7254640.1860468,131754.32292,2309783.32258382,7021338.3458939,46101.1622429999,4326857.434143,2740582.07399398,41046615.7885,45758170.811812,-4711555.02330905
2018-01-01,45717149.796852,37490527.5591329,1117591.63775466,2786172.67499999,112157.722798996,913155.84957719,1052031.499298,2245512.853292,41293448.2366599,13219863.703423,5532936.223484,1614638.98116199,13139262.5279489,7611329.8947499,175416.905893,4423701.56019271,7231547.823076,25209.3168899999,4338589.12111389,2918168.018852,45742359.113742,48550205.376627,-2807846.26288292
2019-01-01,46471287.619506,37980448.4601409,710874.85971998,2994905.889,154464.606610997,1126774.46101307,1120153.47134198,2383665.87168098,44136438.555826,14136664.654116,5815741.8280149,1812035.57664,14308036.2739448,7893363.477194,170596.745918999,2334849.06367901,7673886.793268,36191.593215,4508096.63106799,3201981.75541498,46507479.212721,51846516.94231,-5339037.72958743
2020-01-01,44262701.845521,35698573.177219,1019268.20537,3104866.452,358218.187152998,891183.35623398,838928.27707099,2351664.19047498,51515495.934949,15075203.6591079,6178459.5390969,1938521.13645498,19251483.5578928,8900689.3790509,171138.663347,-7252794.089428,7027039.3940367,27859.2188859999,4042911.204291,3011987.40863199,44290561.064407,58570394.547872,-14279833.483465
2021-01-01,62464925.016927,49034134.859775,4404895.19955999,2815089.61999999,323227.052990437,569601.34682798,1355734.63222582,3962242.30554849,72220509.817958,16409504.1956171,6736138.7226096,2059196.26515198,37386009.118823,9403829.8798876,225831.635868005,-9755584.801029,8260715.3039362,16753.6533519999,4819661.1657753,3457807.79151288,62481678.670279,80497978.775247,-18016300.104964
2022-01-01,73882154.73887,59742985.633683,1962556.96721,2585421.442,304938.876065989,3877463.298929,1250770.16273398,4158018.35824689,60904486.545533,17619029.762693,7521702.8723508,2640919.1324949,21275867.0219389,11475133.2759479,371834.480109989,12977668.193335,9399466.4794159,37693.4176479999,4464713.92422889,4972445.972835,73919848.156518,70341646.442599,3578201.7139199
2023-01-01,70810205.032052,54746283.206306,1180392.28338,3281978.50399999,302786.567699464,4874044.2131544,1418965.97467513,5005754.28283658,67176488.739785,20070278.4091219,8227650.9298359,2973902.31768299,21268551.1994419,14301637.2286548,334468.655048805,3633716.29226707,10042968.1107906,20485.0623019999,4880237.9187857,5183215.2543066,70830690.094355,77239941.912878,-6409251.8185221
2024-01-01,74518129.318395,60074855.200227,1345084.74933498,3686960.66399999,302404.89257374,2028281.70450914,1580216.56131937,5500325.5464294,72494748.201936,21937556.7495092,9149854.9589869,3771074.13703325,22038630.9434329,15140648.4904027,456982.922571185,2023381.11645917,10796134.9793489,44782.720306294,5214330.91391934,5626586.7857356,74562912.038702,83335665.90159,-8772753.862888
