Operaciones no financieras, Gobierno general total (millones de pesos);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Periodo;1. Ingresos ;1.1. Ingresos tributarios netos;1.2. Cobre bruto;1.3. Imposiciones previsionales;1.4. Donaciones;1.5. Rentas de la propiedad;1.6. Ingresos de operación;1.7. Otros ingresos;2. Gastos;2.1. Personal;2.2. Bienes y servicios de consumo y producción;2.3. Intereses;2.4. Subsidios y donaciones;2.5. Prestaciones previsionales;2.6. Otros;3. Resultado operativo bruto;4. Adquisicion neta de activos no financieros;4.1. Venta de activos físicos;4.2. Inversión;4.3. Transferencias de capital;5. Total ingresos;6. Total gastos;7. Préstamo o endeudamiento neto
mar.2017;10.425.140,88;8.697.757,09;158.189,68;650.092,32;19.146,26;148.575,49;261.122,54;490.257,48;9.014.356,17;2.941.377,01;1.040.781,90;636.126,84;2.520.149,06;1.846.720,55;29.200,81;1.410.784,71;1.368.669,27;4.783,24;757.881,36;615.571,15;10.429.924,12;10.387.808,67;42.115,44
jun.2017;10.462.604,73;8.726.236,15;152.449,83;653.054,77;36.498,86;188.916,80;235.804,99;469.643,32;9.168.243,19;2.925.697,89;1.191.578,21;89.684,55;3.140.822,66;1.782.789,84;37.670,04;1.294.361,54;1.603.543,42;4.326,06;884.270,20;723.599,29;10.466.930,79;10.776.112,67;-309.181,88
sep.2017;10.067.644,65;8.113.535,26;293.863,19;647.064,09;32.006,37;266.115,99;253.562,53;461.497,22;10.060.862,94;3.115.518,90;1.276.042,93;661.838,59;3.170.307,49;1.807.686,34;29.468,70;6.781,70;1.470.771,72;23.497,68;890.829,54;603.439,85;10.091.142,33;11.555.132,34;-1.463.990,01
dic.2017;10.045.124,37;8.082.815,25;294.397,00;677.347,17;19.409,77;210.808,19;247.639,94;512.707,06;10.447.269,01;3.235.704,36;1.692.618,45;72.368,29;3.593.719,67;1.817.443,46;35.414,78;-402.144,63;2.578.353,94;13.494,18;1.793.876,34;797.971,79;10.058.618,56;13.039.117,13;-2.980.498,57
mar.2018;11.360.331,01;9.223.776,83;413.233,03;695.992,66;35.205,63;161.632,42;272.048,79;558.441,65;9.782.744,90;3.199.088,33;1.100.006,19;715.939,80;2.803.887,92;1.933.407,63;30.415,02;1.577.586,12;1.417.169,64;3.336,43;675.926,05;744.580,02;11.363.667,44;11.203.250,97;160.416,48
jun.2018;11.410.365,94;9.459.179,22;236.899,81;687.776,80;35.978,11;199.601,93;246.358,32;544.571,74;9.956.927,06;3.252.188,97;1.324.070,94;89.897,95;3.347.102,02;1.897.833,65;45.833,53;1.453.438,87;1.711.379,11;6.640,77;970.238,56;747.781,33;11.417.006,71;11.674.946,95;-257.940,24
sep.2018;11.021.269,29;8.967.672,52;282.270,04;688.635,87;28.591,13;291.444,39;264.670,85;497.984,50;10.196.967,91;3.264.646,38;1.327.032,20;724.614,68;2.962.658,81;1.877.295,45;40.720,39;824.301,39;1.421.854,92;8.856,52;782.288,07;648.423,37;11.030.125,81;11.627.679,35;-597.553,54
dic.2018;11.925.183,55;9.839.898,99;185.188,75;713.767,34;12.382,85;260.477,10;268.953,55;644.514,96;11.356.808,37;3.503.940,03;1.781.826,90;84.186,55;4.025.613,77;1.902.793,17;58.447,96;568.375,18;2.681.144,15;6.375,60;1.910.136,45;777.383,30;11.931.559,15;14.044.328,11;-2.112.768,96
mar.2019;11.839.248,28;9.785.120,41;164.957,38;736.696,34;38.945,15;235.144,46;285.382,11;593.002,43;10.435.130,74;3.414.178,25;1.189.242,32;808.146,40;2.968.916,21;2.016.522,90;38.124,65;1.404.117,55;1.439.865,20;11.701,40;797.992,76;653.573,84;11.850.949,68;11.886.697,34;-35.747,66
jun.2019;11.753.888,05;9.640.625,93;166.810,59;746.310,16;74.120,63;238.253,88;261.579,61;626.187,24;10.455.531,01;3.482.030,33;1.380.126,30;93.616,79;3.554.688,57;1.911.410,93;33.658,07;1.298.357,04;1.634.292,89;13.788,22;976.326,70;671.754,40;11.767.676,27;12.103.612,12;-335.935,85
sep.2019;11.459.546,60;9.403.921,80;175.321,88;739.730,78;23.290,81;249.678,60;301.793,66;565.809,07;11.131.114,61;3.511.826,31;1.400.308,80;827.782,16;3.391.287,03;1.965.030,70;34.879,61;328.431,99;1.690.792,47;5.388,41;964.942,99;731.237,89;11.464.935,01;12.827.295,49;-1.362.360,48
dic.2019;11.418.604,69;9.150.780,31;203.785,01;772.168,62;18.108,02;403.697,52;271.398,08;598.667,13;12.114.662,20;3.728.629,76;1.846.064,40;82.490,21;4.393.144,46;2.000.398,94;63.934,42;-696.057,51;2.908.936,24;5.313,56;1.768.834,17;1.145.415,62;11.423.918,25;15.028.912,00;-3.604.993,75
mar.2020;12.508.332,45;10.364.456,83;181.389,16;818.830,22;61.752,77;220.860,47;285.800,81;575.242,19;11.451.450,44;3.687.075,12;1.266.611,70;905.805,57;3.216.841,88;2.333.315,75;41.800,41;1.056.882,01;1.210.924,85;8.065,63;689.124,14;529.866,34;12.516.398,08;12.670.440,92;-154.042,84
jun.2020;8.509.089,39;6.470.486,12;169.948,95;763.407,46;83.532,34;342.882,91;149.812,36;529.019,24;11.454.393,00;3.701.068,00;1.413.034,81;104.816,61;4.118.351,16;2.083.681,95;33.440,47;-2.945.303,61;1.582.621,46;3.154,96;893.688,44;692.087,97;8.512.244,35;13.040.169,41;-4.527.925,06
sep.2020;10.432.412,22;8.473.063,47;222.643,24;725.813,85;94.551,33;178.739,27;191.342,60;546.258,47;15.110.589,12;3.767.741,09;1.458.087,66;876.827,75;6.819.373,50;2.149.856,55;38.702,57;-4.678.176,90;1.490.806,42;12.377,99;829.643,97;673.540,44;10.444.790,21;16.613.773,54;-6.168.983,32
dic.2020;12.812.867,79;10.390.566,76;445.286,86;796.814,92;118.381,75;148.700,71;211.972,51;701.144,29;13.499.063,38;3.919.319,45;2.040.725,37;51.071,21;5.096.917,02;2.333.835,12;57.195,21;-686.195,59;2.742.686,67;4.260,63;1.630.454,65;1.116.492,66;12.817.128,42;16.246.010,68;-3.428.882,26
mar.2021;13.418.078,58;10.893.528,68;253.442,80;688.143,84;42.767,37;103.430,35;524.443,65;912.321,90;13.140.583,82;4.016.512,34;1.371.208,13;916.149,50;4.544.472,41;2.249.296,33;42.945,11;277.494,76;1.363.820,93;2.999,64;741.975,38;624.845,18;13.421.078,22;14.507.404,38;-1.086.326,16
jun.2021;14.592.660,51;11.748.906,53;877.997,76;684.889,60;86.117,05;116.633,10;274.256,48;803.860,00;16.945.342,56;4.021.886,94;1.595.588,88;94.186,96;8.901.686,45;2.283.518,42;48.474,92;-2.352.682,05;1.907.433,56;2.250,95;1.085.689,97;823.994,54;14.594.911,46;18.855.027,07;-4.260.115,61
sep.2021;15.524.289,63;12.301.695,95;855.624,69;699.242,19;76.003,80;173.542,99;274.632,47;1.143.547,53;21.278.658,47;4.042.130,68;1.588.738,64;882.154,29;12.532.211,76;2.175.050,50;58.372,60;-5.754.368,84;1.879.260,49;2.897,70;1.097.560,63;784.597,56;15.527.187,33;23.160.816,66;-7.633.629,33
dic.2021;18.929.896,29;14.090.003,70;2.417.829,95;742.813,99;118.338,84;175.994,91;282.402,03;1.102.512,87;20.855.924,96;4.328.974,23;2.180.603,08;166.705,52;11.407.638,50;2.695.964,63;76.039,01;-1.926.028,68;3.110.200,33;8.605,37;1.894.435,19;1.224.370,51;18.938.501,66;23.974.730,66;-5.036.229,00
mar.2022;17.007.667,87;14.138.191,50;386.106,32;717.754,28;13.926,48;306.748,56;307.916,51;1.137.024,23;13.605.797,82;4.219.741,48;1.509.058,08;1.022.742,92;4.281.137,55;2.500.772,98;72.344,81;3.401.870,05;1.371.493,67;5.100,09;579.117,41;797.476,35;17.012.767,96;14.982.391,58;2.030.376,38
jun.2022;22.231.413,97;18.584.043,45;973.767,65;565.294,70;76.771,88;645.181,41;297.686,70;1.088.668,17;14.128.035,08;4.373.598,24;1.674.498,74;228.694,33;5.172.091,35;2.629.731,66;49.420,77;8.103.378,89;1.932.823,69;6.738,75;874.070,48;1.065.491,96;22.238.152,71;16.067.597,52;6.170.555,19
sep.2022;17.833.428,36;14.023.045,33;252.082,48;620.965,69;73.927,88;1.588.006,20;325.989,43;949.411,35;17.116.652,10;4.367.617,97;1.949.124,56;1.127.217,35;6.550.325,13;3.056.525,36;65.841,73;716.776,26;2.079.292,43;5.073,96;948.187,93;1.136.178,45;17.838.502,31;19.201.018,48;-1.362.516,17
dic.2022;16.809.644,54;12.997.705,35;350.600,53;681.406,77;140.312,63;1.337.527,12;319.177,53;982.914,61;16.054.001,55;4.658.072,07;2.389.021,50;262.264,54;5.272.313,00;3.288.103,27;184.227,17;755.642,99;4.015.856,68;20.780,62;2.063.338,10;1.973.299,21;16.830.425,17;20.090.638,86;-3.260.213,69
mar.2023;18.999.657,35;15.053.097,82;323.063,37;840.382,97;2.756,36;1.189.285,93;357.994,14;1.233.076,76;16.260.883,16;4.915.596,37;1.777.671,67;1.170.288,98;4.692.545,85;3.612.083,86;92.696,44;2.738.774,18;1.581.019,97;5.087,47;543.099,19;1.043.008,25;19.004.744,82;17.846.990,60;1.157.754,22
jun.2023;17.966.878,13;13.608.183,20;271.181,91;763.260,07;106.633,84;1.119.621,40;327.511,55;1.770.486,16;16.470.145,93;4.936.241,98;1.975.316,78;299.548,96;5.591.149,88;3.606.335,98;61.552,35;1.496.732,19;2.518.061,87;6.794,16;1.133.514,96;1.391.341,08;17.973.672,29;18.995.001,97;-1.021.329,68
sep.2023;16.230.896,49;12.884.594,58;284.735,02;779.195,63;79.500,87;1.431.866,28;374.678,70;396.325,42;16.834.165,88;4.989.232,82;2.024.227,72;1.087.019,39;5.181.748,23;3.482.350,73;69.586,99;-603.269,39;2.196.409,09;3.420,46;1.017.194,75;1.182.634,80;16.234.316,95;19.033.995,43;-2.799.678,48
dic.2023;17.612.773,07;13.200.407,61;301.411,98;899.139,85;113.895,50;1.133.270,61;358.781,58;1.605.865,94;17.611.293,76;5.229.207,23;2.450.434,76;417.044,99;5.803.107,24;3.600.866,67;110.632,88;1.479,31;3.747.477,18;5.182,97;2.186.429,02;1.566.231,12;17.617.956,04;21.363.953,91;-3.745.997,87
mar.2024;17.983.500,14;14.494.520,76;314.120,87;963.949,72;208,97;512.601,71;411.511,47;1.286.586,64;17.764.314,59;5.366.423,90;2.145.881,39;1.299.762,44;5.043.323,40;3.800.001,73;108.921,72;219.185,54;2.108.346,91;4.624,58;754.884,28;1.358.087,22;17.988.124,72;19.877.286,09;-1.889.161,37
jun.2024;18.756.256,32;15.656.970,16;319.370,59;878.523,86;73.813,00;383.863,24;370.475,35;1.073.240,11;17.716.015,42;5.476.006,57;2.257.172,04;555.297,48;5.544.637,53;3.805.596,78;77.305,02;1.040.240,90;2.947.150,29;8.012,16;1.568.584,50;1.386.577,95;18.764.268,48;20.671.177,87;-1.906.909,39
sep.2024;17.158.519,98;13.873.153,75;326.947,09;896.516,03;91.323,73;359.173,98;380.457,19;1.230.948,22;18.237.513,09;5.495.795,88;2.250.342,96;1.259.274,41;5.350.964,12;3.736.236,43;144.899,29;-1.078.993,11;2.470.613,10;22.455,72;1.143.027,10;1.350.041,72;17.180.975,70;20.730.581,91;-3.549.606,21
dic.2024;20.619.852,88;16.050.210,53;384.646,20;947.971,06;137.059,19;772.642,77;417.772,55;1.909.550,58;18.776.905,10;5.599.330,39;2.496.458,57;656.739,81;6.099.705,89;3.798.813,55;125.856,88;1.842.947,79;3.270.024,68;9.690,26;1.747.835,04;1.531.879,90;20.629.543,14;22.056.620,04;-1.427.076,89
