Anho;Mes;Dólar
2010;Enero;500,66
2010;Febrero;532,56
2010;Marzo;523,16
2010;Abril;520,62
2010;Mayo;533,21
2010;Junio;536,67
2010;Julio;531,72
2010;Agosto;509,32
2010;Septiembre;493,93
2010;Octubre;484,04
2010;Noviembre;482,32
2010;Diciembre;474,78
2011;Enero;489,44
2011;Febrero;475,69
2011;Marzo;479,65
2011;Abril;471,32
2011;Mayo;467,73
2011;Junio;469,41
2011;Julio;462,94
2011;Agosto;466,79
2011;Septiembre;483,69
2011;Octubre;511,74
2011;Noviembre;508,44
2011;Diciembre;517,17
2012;Enero;501,34
2012;Febrero;481,49
2012;Marzo;485,40
2012;Abril;486,00
2012;Mayo;497,09
2012;Junio;505,63
2012;Julio;491,93
2012;Agosto;480,99
2012;Septiembre;474,97
2012;Octubre;475,36
2012;Noviembre;480,57
2012;Diciembre;477,13
2013;Enero;472,67
2013;Febrero;472,34
2013;Marzo;472,48
2013;Abril;472,14
2013;Mayo;479,58
2013;Junio;502,89
2013;Julio;504,96
2013;Agosto;512,59
2013;Septiembre;504,57
2013;Octubre;500,81
2013;Noviembre;519,25
2013;Diciembre;529,45
2014;Enero;537,03
2014;Febrero;554,41
2014;Marzo;563,84
2014;Abril;554,64
2014;Mayo;555,40
2014;Junio;553,06
2014;Julio;558,21
2014;Agosto;579,05
2014;Septiembre;593,47
2014;Octubre;589,98
2014;Noviembre;592,46
2014;Diciembre;612,92
2015;Enero;620,91
2015;Febrero;623,62
2015;Marzo;628,50
2015;Abril;614,73
2015;Mayo;607,60
2015;Junio;629,99
2015;Julio;650,14
2015;Agosto;688,12
2015;Septiembre;691,73
2015;Octubre;685,31
2015;Noviembre;704,00
2015;Diciembre;704,24
2016;Enero;721,95
2016;Febrero;704,08
2016;Marzo;682,07
2016;Abril;669,93
2016;Mayo;681,87
2016;Junio;681,07
2016;Julio;657,57
2016;Agosto;658,89
2016;Septiembre;668,63
2016;Octubre;663,92
2016;Noviembre;666,12
2016;Diciembre;667,17
2017;Enero;661,19
2017;Febrero;643,21
2017;Marzo;661,20
2017;Abril;655,74
2017;mayo;671,54
2017;Junio;665,15
2017;Julio;658,17
2017;Agosto;644,24
2017;Septiembre;625,54
2017;Octubre;629,55
2017;Noviembre;633,77
2017;Diciembre;636,92
2018;Enero;605,53
2018;Febrero;596,84
2018;Marzo;603,45
2018;Abril;600,55
2018;Mayo;626,12
2018;Junio;636,15
2018;Julio;652,41
2018;Agosto;656,25
2018;Septiembre;680,91
2018;Octubre;676,84
2018;Noviembre;677,61
2018;Diciembre;681,99
2019;Enero;677,06
2019;Febrero;656,30
2019;Marzo;667,68
2019;Abril;667,40
2019;Mayo;692,00
2019;Junio;692,41
2019;Julio;686,06
2019;Agosto;713,70
2019;Septiembre;718,44
2019;Octubre;721,03
2019;Noviembre;776,53
2019;Diciembre;770,39
2020;Enero;772,65
2020;Febrero;796,38
2020;Marzo;839,38
2020;Abril;853,38
2020;Mayo;821,81
2020;Junio;793,72
2020;Julio;784,73
2020;Agosto;784,66
2020;Septiembre;773,40
2020;Octubre;788,27
2020;Noviembre;762,88
2020;Diciembre;734,73
2021;Enero;723,56
2021;Febrero;722,63
2021;Marzo;726,37
2021;Abril;707,85
2021;Mayo;712,26
2021;Junio;726,54
2021;Julio;750,44
2021;Agosto;779,83
2021;Septiembre;783,63
2021;Octubre;813,95
2021;Noviembre;812,62
2021;Diciembre;849,12
2022;Enero;822,05
2022;Febrero;807,07
2022;Marzo;799,19
2022;Abril;815,12
2022;Mayo;849,39
2022;Junio;857,77
2022;Julio;953,71
2022;Agosto;904,35
2022;Septiembre;921,01
2022;Octubre;955,89
2022;Noviembre;917,05
2022;Diciembre;875,66
2023;Enero;826,34
2023;Febrero;798,26
2023;Marzo;809,50
2023;Abril;803,84
2023;Mayo;798,64
2023;Junio;799,87
2023;Julio;813,40
2023;Agosto;855,66
2023;Septiembre;884,40
2023;Octubre;926,35
2023;Noviembre;886,61
2023;Diciembre ;874,67
2024;Enero;907,99
2024;Febrero ;963,44
2024;Marzo ;967,93
2024;Abril ;960,14
2024;Mayo ;917,88
2024;Junio;926,08
2024;Julio;937,56
2024;Agosto;929,90
2024;Septiembre;926,21
2024;Octubre;933,81
2024;Noviembre;971,60
2024;Diciembre;982,30
;;
;;
;;
;;
